name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed,height_value,height_unit,height,Inversions_clean,Gforce_clean,speed_kmh
formula rossa,"2,000 m (6,562 ft)",240 km/h (149.1 mph),ferrari world abu dhabi,operating,4 november 2010,steel – launched,intamin,140–195 cm (4 ft 7 in–6 ft 5 in),accelerator coaster,52 m (170.6 ft),0.0,hydraulic launch track,$10 million,4 trains with 4 cars. riders are arranged 2 across in 2 rows for a total of 16 riders per train.,planet snoopy,1:32[1],625 riders per hour,4.8[2],werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 240 km/h (0 to 149 mph) in 4.9 seconds,single lap bar,das große lego-rennen,2010,24.4842,54.6124,steel,2010-11-04,240 km/h,149.1 mph,240.0,km/h,149.1,52.0,m,170.6,0,4.8,239.95259399999998
kingda ka,"3,118 ft (950 m)",128 mph (206 km/h),six flags great adventure,operating,"may 21, 2005",steel – launched,intamin,54–77 in (137–196 cm),accelerator coaster,456 ft (139 m),0.0,hydraulic launch,$25 million,"4 trains containing 5 cars each. riders are seated 2 across in 2 rows, with only 1 row in the last car, for a total of 18 riders per train.",the golden kingdom,0:28,1400 riders per hour,4,werner stengel,90°,418 ft (127 m),"may 19, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"may 19, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 128 mph (0 to 206 km/h) in 3.5 seconds,single lap bar,das große lego-rennen,2005,40.1392,-74.4365,steel,2005-05-21,128 mph,206 km/h,128.0,mph,128.0,456.0,ft,91.2,0,4.0,205.99552
top thrill dragster,"2,800 ft (850 m)",120 mph (190 km/h),cedar point,closed,"may 4, 2003",steel – launched,intamin,52–78[1] in (132–198 cm),accelerator coaster,420 ft (130 m),0.0,hydraulic launch,$25 million,"6 trains, with 5 cars. riders are arranged 2 across in 2 rows (except for the first car), for a total of 18 riders per train.",gemini midway,0:30,"1,000 riders per hour",4,werner stengel,90°,400 ft (120 m),"may 1, 2003",fast lane available,"chaos, troika",twister,fastrack available,"may 1, 2003","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 120 mph (0 to 193 km/h) in 4 seconds,single lap bar,das große lego-rennen,2003,41.484,-82.6862,steel,2003-05-04,120 mph,190 km/h,120.0,mph,120.0,420.0,ft,91.2,0,4.0,193.1208
do-dodonpa,"1,244 m (4,081 ft)",180 km/h (110 mph),fuji-q highland,closed,21 december 2001,steel,s&s – sansei technologies,130 cm (4 ft 3 in),air-launched coaster,49 m (161 ft),1.0,compressed air launch,$10 million,4 trains with 4 cars. riders are arranged 2 across in a single row for a total of 8 riders per train.,planet snoopy,1:30,80 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 180 km/h (0 to 112 mph) in 1.6 seconds,single lap bar,das große lego-rennen,2001,35.4877,138.7823,steel,2001-12-21,180 km/h,110 mph,180.0,km/h,111.8,49.0,m,160.8,1,4.0,179.92421199999998
red force (roller coaster),"880 m (2,890 ft)",180 km/h (112 mph),ferrari land,operating,7 april 2017,steel – launched,intamin,140–195 cm (4 ft 7 in–6 ft 5 in),boomerang,112 m (367 ft),0.0,lsm,$10 million,3 cars. riders are arranged 2 across in 2 rows for a total of 12 riders per train.,planet snoopy,1:30,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 180 km/h (0 to 112 mph) in 5 seconds,single lap bar,das große lego-rennen,2017,40.2898,-76.6536,steel,2017-04-07,180 km/h,112 mph,180.0,km/h,111.8,112.0,m,367.5,0,4.0,179.92421199999998
tower of terror ii,"376.4 m (1,235 ft)",160.9 km/h (100.0 mph),dreamworld,removed,23 january 1997tower of terror),steel – launched – shuttle,intamin,120 cm (3 ft 11 in),reverse freefall coaster,115 m (377 ft),0.0,linear synchronous motor,"a$16,000,000",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,main street,28 seconds,1200 riders per hour,4.5,werner stengel,90°,108.3 m (355 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005",3 november 2019tower of terror ll),1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 160.9 km/h (0 to 100 mph) in 7 seconds,single lap bar,das große lego-rennen,1997,-27.8641,153.3174,steel,1997-01-23,160.9 km/h,100.0 mph,160.9,km/h,100.0,115.0,m,377.3,0,4.5,160.934
superman: escape from krypton,"1,235 ft (376.4 m)",100 mph (160.9 km/h),other,operating,"march 15, 1997",steel – launched – shuttle – dueling,intamin,48 in (122 cm),reverse freefall coaster,415 ft (126.5 m),0.0,linear synchronous motor,"us$20,000,000",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,samurai summit,0:28,"1,050 riders per hour",4.5,werner stengel,90°,328.1 ft (100.0 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 104 mph in 7 seconds,single lap bar,das große lego-rennen,1997,34.425,-118.598,steel,1997-03-15,100 mph,160.9 km/h,100.0,mph,100.0,415.0,ft,91.2,0,4.5,160.934
ring racer,"1,212 m (3,976 ft)",160.0 km/h (99.4 mph),nürburgring,closed,31 october 2013,steel – launched,s&s - sansei technologies,55 in (140 cm),high-thrill coaster,37.5 m (123 ft),0.0,pneumatic launch,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,85 seconds,400 riders per hour,5.6,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,raceway-style oval layout,fastrack available,"april 29, 2005",4 november 2013,1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 99.4 mph (0 to 160 km/h) in 2 seconds,single lap bar,das große lego-rennen,2013,50.3361,6.9492,steel,2013-10-31,160.0 km/h,99.4 mph,160.0,km/h,99.4,37.5,m,123.0,0,5.6,159.968396
steel dragon 2000,"2,479 m (8,133 ft)",152.9 km/h (95.0 mph),nagashima spa land,operating,1 august 2000,steel,d. h. morgan manufacturing,140–185 cm (4 ft 7 in–6 ft 1 in),boomerang,97 m (318 ft),0.0,one lift hill with two chains,"$52,000,000 usd",multiple trains with 7 cars. riders are arranged 2 across in 2 rows for a total of 28 riders per train.,planet snoopy,4:00,1200 riders per hour,4,steve okamoto,68°,93.5 m (307 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2000,35.0312,136.7301,steel,2000-08-01,152.9 km/h,95.0 mph,152.9,km/h,95.0,97.0,m,318.2,0,4.0,152.8873
fury 325,"6,602 ft (2,012 m)",95 mph (153 km/h),carowinds,operating,"march 28, 2015",steel,bolliger & mabillard,54 in (137 cm),hyper coaster,325 ft (99 m),0.0,chain lift hill,"$30,000,000",3 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,thrill zone,1:30,1470 riders per hour,4,werner stengel,81°,320 ft (98 m),"march 25, 2015",fast lane available,mine train through nature's wonderland,twister,fastrack available,"march 25, 2015","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2015,35.1055,-80.9425,steel,2015-03-28,95 mph,153 km/h,95.0,mph,95.0,325.0,ft,91.2,0,4.0,152.8873
